alpha,psi_b,psi_ba,WmagPrime
0,0.0682783647464914,-3.02620275138004e-06,0.0519092036945283
1,0.067196852764318,-0.00116196397056523,0.0519100014842923
2,0.0660972410723062,-0.00232401344059581,0.0519020786865795
3,0.0650073447416713,-0.00348104253670367,0.0519055586965964
4,0.0638991283536478,-0.00463920915355436,0.0518979037791856
5,0.0627859092922582,-0.00580227011749204,0.0518916857517055
6,0.0616644450570591,-0.00696383628358108,0.0518850834152419
7,0.060531964643628,-0.00813051892140843,0.0518706442343271
8,0.0593938059534283,-0.00930474072477295,0.0518619496669161
9,0.0582500083411029,-0.0104710247660038,0.0518443890782499
10,0.0571043893989488,-0.0116410520339876,0.0518319974667427
11,0.0559490403268165,-0.0128097579562804,0.0518162564019524
12,0.0547872785523938,-0.0139881707749656,0.0517968223718465
13,0.0536217430107677,-0.0151661475300803,0.0517766683159287
14,0.0524500148938885,-0.0163538485549953,0.0517607742682281
15,0.0512768619976158,-0.0175379093984524,0.0517440461554944
16,0.0501013788958675,-0.0187169359907882,0.0517173689215121
17,0.0489048135896323,-0.0199169889398865,0.051690568095791
18,0.0477204301059152,-0.0211090134060213,0.0516679135202516
19,0.0465260417764587,-0.0223016775928472,0.0516429479373859
20,0.0453384101287154,-0.0234998853430497,0.0516196022714509
21,0.044131474940467,-0.0246992346278149,0.0515856672542004
22,0.0429145965842969,-0.0259102048878174,0.0515526098656852
23,0.0417220514081858,-0.0271066493994631,0.05152840962958
24,0.0405123374153867,-0.0283140190933766,0.0515000765027078
25,0.0392974946454814,-0.0295209576569492,0.0514679554170539
26,0.0380803863464562,-0.0307399645435533,0.0514382997547673
27,0.0368658295538299,-0.0319562554086513,0.0514102913332102
28,0.0356479107427796,-0.0331730988303484,0.051375976542018
29,0.0344297191536604,-0.0343946571094535,0.0513472988716551
30,0.0332094486122959,-0.0356189896383399,0.0513184000948155
31,0.0319893250835772,-0.0368502802394351,0.0512915279692314
32,0.0307671127289035,-0.0380912752631608,0.0512683900249736
33,0.0295449962126755,-0.0393373123182898,0.05124802829991
34,0.0283210167759693,-0.0405984351655484,0.0512298052856445
35,0.0271021735915591,-0.041873986544259,0.0512241720991003
36,0.0258823228127747,-0.0431698808652178,0.0512258293875468
37,0.0246647723992822,-0.0444923008465213,0.0512432369701797
38,0.0234491286745045,-0.0458620518382853,0.0512849453919736
39,0.0222436355779277,-0.0472885968759722,0.0513621894295029
40,0.0210457638736427,-0.0488125476591147,0.0514934787817027
41,0.0198775518147896,-0.0504959700415466,0.0517240681485958
42,0.0187582456967011,-0.0524747915854777,0.052125384577744
43,0.0177525817359143,-0.0551366224340727,0.0528853943677674
44,0.0170752902556643,-0.0598959589235904,0.0546798096348446
