!Agilent Technologies,E4990A,MY54100421,A.02.10
!Date: Thu Nov 09 14:44:25 2023

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+5.39494949495e+006, +4.78856668990e-005, +4.75576003429e+002
+5.49292929293e+006, +5.07455663000e-005, +5.48442749304e+002
+5.59090909091e+006, +5.39733770614e-005, +6.38956784357e+002
+5.68888888889e+006, +5.76474402939e-005, +7.52822616402e+002
+5.78686868687e+006, +6.18740647969e-005, +8.97630313097e+002
+5.88484848485e+006, +6.65860468697e-005, +1.09034230053e+003
+5.98282828283e+006, +7.19366069212e-005, +1.34608040816e+003
+6.08080808081e+006, +7.78236017904e-005, +1.69592370901e+003
+6.17878787879e+006, +8.38010716094e-005, +2.17857215921e+003
+6.27676767677e+006, +8.90017509351e-005, +2.85944092493e+003
+6.37474747475e+006, +9.08717371808e-005, +3.81842143610e+003
+6.47272727273e+006, +8.43798490450e-005, +5.09110722603e+003
+6.57070707071e+006, +6.17468087919e-005, +6.54693921282e+003
+6.66868686869e+006, +1.80284853288e-005, +7.59375652449e+003
+6.76666666667e+006, -3.49137723734e-005, +7.48432220952e+003
+6.86464646465e+006, -7.31172657871e-005, +6.34095858754e+003
+6.96262626263e+006, -8.96369757629e-005, +4.87373931108e+003
+7.06060606061e+006, -9.13395223441e-005, +3.62801014012e+003
+7.15858585859e+006, -8.63640418807e-005, +2.70522537130e+003
+7.25656565657e+006, -7.92131039790e-005, +2.05614690752e+003
+7.35454545455e+006, -7.19287469739e-005, +1.59267399542e+003
+7.45252525253e+006, -6.51708508353e-005, +1.26256045513e+003
+7.55050505051e+006, -5.92175065961e-005, +1.01802641690e+003
+7.64848484848e+006, -5.40444039781e-005, +8.36883708166e+002
+7.74646464646e+006, -4.95050203968e-005, +6.99024688765e+002
+7.84444444444e+006, -4.56036766667e-005, +5.91345584409e+002
+7.94242424242e+006, -4.21640094961e-005, +5.05432079481e+002
+8.04040404040e+006, -3.91386285507e-005, +4.36505261587e+002
+8.13838383838e+006, -3.64626174025e-005, +3.81256709142e+002
+8.23636363636e+006, -3.40848351980e-005, +3.35501441403e+002
+8.33434343434e+006, -3.19521050106e-005, +2.96698787729e+002
+8.43232323232e+006, -3.00478065959e-005, +2.63797941979e+002
+8.53030303030e+006, -2.83346131802e-005, +2.36584086256e+002
+8.62828282828e+006, -2.67735179086e-005, +2.13176416927e+002
+8.72626262626e+006, -2.53529891444e-005, +1.93561254328e+002
+8.82424242424e+006, -2.40704574526e-005, +1.75819050583e+002
+8.92222222222e+006, -2.28967800198e-005, +1.60610501331e+002
+9.02020202020e+006, -2.18121038982e-005, +1.47301412539e+002
+9.11818181818e+006, -2.08198165133e-005, +1.35254642792e+002
+9.21616161616e+006, -1.99004244616e-005, +1.25130850646e+002
+9.31414141414e+006, -1.90510607204e-005, +1.15621056788e+002
+9.41212121212e+006, -1.82600210803e-005, +1.07685228789e+002
+9.51010101010e+006, -1.75242951281e-005, +9.99604440041e+001
+9.60808080808e+006, -1.68367792459e-005, +9.32075978596e+001
+9.70606060606e+006, -1.61963188002e-005, +8.73387039681e+001
+9.80404040404e+006, -1.55969964563e-005, +8.17723625330e+001
+9.90202020202e+006, -1.50323844030e-005, +7.67247716682e+001
+1.00000000000e+007, -1.45001367572e-005, +7.20243706868e+001
END
