!Agilent Technologies,E4990A,MY54100421,A.02.10
!Date: Thu Nov 09 14:44:25 2023

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.50000000000e+005, +2.27029072247e-005, +1.35139052579e+000
+1.55263157895e+005, +2.26915535970e-005, +1.39781713291e+000
+1.60526315789e+005, +2.26801577759e-005, +1.44496258267e+000
+1.65789473684e+005, +2.26676963244e-005, +1.49335620820e+000
+1.71052631579e+005, +2.26558630262e-005, +1.54209312566e+000
+1.76315789474e+005, +2.26460134137e-005, +1.59300065446e+000
+1.81578947368e+005, +2.26352603841e-005, +1.64308455764e+000
+1.86842105263e+005, +2.26236471300e-005, +1.69697268779e+000
+1.92105263158e+005, +2.26130420699e-005, +1.75074780024e+000
+1.97368421053e+005, +2.26025518505e-005, +1.80529586375e+000
+2.02631578947e+005, +2.25917779126e-005, +1.86158046898e+000
+2.07894736842e+005, +2.25820616373e-005, +1.91764231281e+000
+2.13157894737e+005, +2.25714908749e-005, +1.97682247567e+000
+2.18421052632e+005, +2.25613612567e-005, +2.03515562753e+000
+2.23684210526e+005, +2.25511077930e-005, +2.09548327585e+000
+2.28947368421e+005, +2.25410848304e-005, +2.15613668894e+000
+2.34210526316e+005, +2.25303365406e-005, +2.21765637512e+000
+2.39473684211e+005, +2.25210255776e-005, +2.28055919683e+000
+2.44736842105e+005, +2.25117256092e-005, +2.34521301856e+000
+2.50000000000e+005, +2.25007994219e-005, +2.41023597613e+000
+3.00000000000e+005, +2.24082604783e-005, +3.07819599374e+000
+3.97979797980e+005, +2.22252046004e-005, +4.61374054730e+000
+4.95959595960e+005, +2.20384850029e-005, +6.39395567327e+000
+5.93939393939e+005, +2.18504056604e-005, +8.36083949690e+000
+6.91919191919e+005, +2.16675957972e-005, +1.04437034360e+001
+7.89898989899e+005, +2.14944360548e-005, +1.25848679071e+001
+8.87878787879e+005, +2.13373209403e-005, +1.47388962210e+001
+9.85858585859e+005, +2.11985447377e-005, +1.68859096188e+001
+1.08383838384e+006, +2.10839616908e-005, +1.90190280524e+001
+1.18181818182e+006, +2.09904399543e-005, +2.11093043238e+001
+1.27979797980e+006, +2.09212076406e-005, +2.31909835954e+001
+1.37777777778e+006, +2.08728079062e-005, +2.52360586187e+001
+1.47575757576e+006, +2.08497179173e-005, +2.72181515617e+001
+1.57373737374e+006, +2.08463692439e-005, +2.92500486109e+001
+1.67171717172e+006, +2.08662933589e-005, +3.12681471901e+001
+1.76969696970e+006, +2.09079266886e-005, +3.32993966580e+001
+1.86767676768e+006, +2.09696764965e-005, +3.53685310841e+001
+1.96565656566e+006, +2.10495610308e-005, +3.74456093098e+001
+2.06363636364e+006, +2.11513417021e-005, +3.95908705183e+001
+2.16161616162e+006, +2.12730122479e-005, +4.18321641155e+001
+2.25959595960e+006, +2.14140019415e-005, +4.40769824364e+001
+2.35757575758e+006, +2.15760815949e-005, +4.64662151103e+001
+2.45555555556e+006, +2.17572631144e-005, +4.89444533210e+001
+2.55353535354e+006, +2.19581298156e-005, +5.15620874143e+001
+2.65151515152e+006, +2.21781739531e-005, +5.43227291047e+001
+2.74949494949e+006, +2.24230108935e-005, +5.71881464509e+001
+2.84747474747e+006, +2.26905574574e-005, +6.03148364101e+001
+2.94545454545e+006, +2.29777107847e-005, +6.36415763334e+001
+3.04343434343e+006, +2.32926596422e-005, +6.70661201105e+001
+3.14141414141e+006, +2.36360538535e-005, +7.08833252113e+001
+3.23939393939e+006, +2.40051141285e-005, +7.49718375215e+001
+3.33737373737e+006, +2.44016520063e-005, +7.93409272848e+001
+3.43535353535e+006, +2.48305724127e-005, +8.40734024843e+001
+3.53333333333e+006, +2.52929844748e-005, +8.92797495437e+001
+3.63131313131e+006, +2.57937785518e-005, +9.48196720582e+001
+3.72929292929e+006, +2.63271200154e-005, +1.01041042577e+002
+3.82727272727e+006, +2.69092026272e-005, +1.07732485861e+002
+3.92525252525e+006, +2.75332178804e-005, +1.15258908986e+002
+4.02323232323e+006, +2.82079757575e-005, +1.23492097545e+002
+4.12121212121e+006, +2.89389495790e-005, +1.32707094219e+002
+4.21919191919e+006, +2.97301141039e-005, +1.42919000767e+002
+4.31717171717e+006, +3.05916942098e-005, +1.54581843811e+002
+4.41515151515e+006, +3.15225882839e-005, +1.67438833629e+002
+4.51313131313e+006, +3.25456273035e-005, +1.81775694024e+002
+4.61111111111e+006, +3.36622295119e-005, +1.98355276948e+002
+4.70909090909e+006, +3.48853390807e-005, +2.17493156637e+002
+4.80707070707e+006, +3.62185652227e-005, +2.38985718858e+002
+4.90505050505e+006, +3.76902176467e-005, +2.64212349890e+002
+5.00303030303e+006, +3.93294673699e-005, +2.93944648899e+002
+5.10101010101e+006, +4.11449430483e-005, +3.28317463336e+002
+5.19898989899e+006, +4.31679446164e-005, +3.69156190836e+002
+5.29696969697e+006, +4.53626782743e-005, +4.16876825355e+002
