!Agilent Technologies,E4990A,MY54100421,A.02.10
!Date: Thu Nov 09 14:44:58 2023

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.50000000000e+005, +2.33544863358e-005, +1.28173512954e+000
+1.55263157895e+005, +2.33442761247e-005, +1.32710017426e+000
+1.60526315789e+005, +2.33342060186e-005, +1.37234268677e+000
+1.65789473684e+005, +2.33240347444e-005, +1.41895868339e+000
+1.71052631579e+005, +2.33139268134e-005, +1.46734779017e+000
+1.76315789474e+005, +2.33035240071e-005, +1.51710628268e+000
+1.81578947368e+005, +2.32939251740e-005, +1.56689365692e+000
+1.86842105263e+005, +2.32842214337e-005, +1.61825003173e+000
+1.92105263158e+005, +2.32750539502e-005, +1.66997632561e+000
+1.97368421053e+005, +2.32651564806e-005, +1.72343307205e+000
+2.02631578947e+005, +2.32550599641e-005, +1.77818788909e+000
+2.07894736842e+005, +2.32461877338e-005, +1.83330545401e+000
+2.13157894737e+005, +2.32372282684e-005, +1.89071812258e+000
+2.18421052632e+005, +2.32277173978e-005, +1.94927009523e+000
+2.23684210526e+005, +2.32182541474e-005, +2.00742163547e+000
+2.28947368421e+005, +2.32088951795e-005, +2.06742150534e+000
+2.34210526316e+005, +2.32001398557e-005, +2.12790897500e+000
+2.39473684211e+005, +2.31907302837e-005, +2.19059913482e+000
+2.44736842105e+005, +2.31822158438e-005, +2.25320459817e+000
+2.50000000000e+005, +2.31726066844e-005, +2.31635413978e+000
+3.00000000000e+005, +2.30866935215e-005, +2.97252234841e+000
+3.97979797980e+005, +2.29144257502e-005, +4.49204721259e+000
+4.95959595960e+005, +2.27369873044e-005, +6.25725872554e+000
+5.93939393939e+005, +2.25586108274e-005, +8.21046119906e+000
+6.91919191919e+005, +2.23840191918e-005, +1.02803045627e+001
+7.89898989899e+005, +2.22191133280e-005, +1.24130265437e+001
+8.87878787879e+005, +2.20715695382e-005, +1.45678197095e+001
+9.85858585859e+005, +2.19424013209e-005, +1.67149320734e+001
+1.08383838384e+006, +2.18353061982e-005, +1.88372065469e+001
+1.18181818182e+006, +2.17534576056e-005, +2.09340096451e+001
+1.27979797980e+006, +2.16942797045e-005, +2.30181669852e+001
+1.37777777778e+006, +2.16586547957e-005, +2.50726139967e+001
+1.47575757576e+006, +2.16481329604e-005, +2.71065717065e+001
+1.57373737374e+006, +2.16594191104e-005, +2.91220267924e+001
+1.67171717172e+006, +2.16948336623e-005, +3.11690256529e+001
+1.76969696970e+006, +2.17502093622e-005, +3.32418840407e+001
+1.86767676768e+006, +2.18274949868e-005, +3.53348464823e+001
+1.96565656566e+006, +2.19269721907e-005, +3.74558818596e+001
+2.06363636364e+006, +2.20451174634e-005, +3.96551897829e+001
+2.16161616162e+006, +2.21863143879e-005, +4.19255096622e+001
+2.25959595960e+006, +2.23478678941e-005, +4.42496981786e+001
+2.35757575758e+006, +2.25320510595e-005, +4.67254594832e+001
+2.45555555556e+006, +2.27386791450e-005, +4.92497506098e+001
+2.55353535354e+006, +2.29675812582e-005, +5.20010985260e+001
+2.65151515152e+006, +2.32195404799e-005, +5.47890243691e+001
+2.74949494949e+006, +2.34922361994e-005, +5.78756107619e+001
+2.84747474747e+006, +2.37969557701e-005, +6.10521779304e+001
+2.94545454545e+006, +2.41228126121e-005, +6.46168202732e+001
+3.04343434343e+006, +2.44790639328e-005, +6.82627552859e+001
+3.14141414141e+006, +2.48612244239e-005, +7.22189506852e+001
+3.23939393939e+006, +2.52718186132e-005, +7.65484359814e+001
+3.33737373737e+006, +2.57259880158e-005, +8.11847259719e+001
+3.43535353535e+006, +2.62131462959e-005, +8.63017710216e+001
+3.53333333333e+006, +2.67290684222e-005, +9.18545450368e+001
+3.63131313131e+006, +2.72950173136e-005, +9.77835926219e+001
+3.72929292929e+006, +2.79065978237e-005, +1.04520686086e+002
+3.82727272727e+006, +2.85655521620e-005, +1.11958946857e+002
+3.92525252525e+006, +2.92745717011e-005, +1.20127668576e+002
+4.02323232323e+006, +3.00552450080e-005, +1.29169192386e+002
+4.12121212121e+006, +3.08891733440e-005, +1.39485152362e+002
+4.21919191919e+006, +3.18073728210e-005, +1.50857996151e+002
+4.31717171717e+006, +3.27942904202e-005, +1.63709225480e+002
+4.41515151515e+006, +3.38849887362e-005, +1.78278023440e+002
