!Agilent Technologies,E4990A,MY54100421,A.02.10
!Date: Thu Nov 09 14:44:58 2023

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+4.51313131313e+006, +3.50767667814e-005, +1.94936822129e+002
+4.61111111111e+006, +3.63739332164e-005, +2.13916292733e+002
+4.70909090909e+006, +3.78173212448e-005, +2.36199163625e+002
+4.80707070707e+006, +3.94007017231e-005, +2.61424168815e+002
+4.90505050505e+006, +4.11694159538e-005, +2.91625003818e+002
+5.00303030303e+006, +4.31519885212e-005, +3.27264725338e+002
+5.10101010101e+006, +4.53369011268e-005, +3.69177677824e+002
+5.19898989899e+006, +4.78130252970e-005, +4.20659931884e+002
+5.29696969697e+006, +5.05048973302e-005, +4.79554386565e+002
+5.39494949495e+006, +5.36588941650e-005, +5.55212615967e+002
+5.49292929293e+006, +5.72614009611e-005, +6.51024787488e+002
+5.59090909091e+006, +6.13852125116e-005, +7.72583698978e+002
+5.68888888889e+006, +6.60811913824e-005, +9.32425552855e+002
+5.78686868687e+006, +7.15125325463e-005, +1.14102452330e+003
+5.88484848485e+006, +7.75907796468e-005, +1.42616427863e+003
+5.98282828283e+006, +8.42314162849e-005, +1.81985412766e+003
+6.08080808081e+006, +9.11311816766e-005, +2.38341319835e+003
+6.17878787879e+006, +9.66759416307e-005, +3.18927842430e+003
+6.27676767677e+006, +9.73249580926e-005, +4.34059048891e+003
+6.37474747475e+006, +8.60233891697e-005, +5.85138515823e+003
+6.47272727273e+006, +5.18189914593e-005, +7.40066878688e+003
+6.57070707071e+006, -4.92153587202e-006, +8.14218723842e+003
+6.66868686869e+006, -6.01921779324e-005, +7.41999304124e+003
+6.76666666667e+006, -9.09909448147e-005, +5.85627768078e+003
+6.86464646465e+006, -9.90525335576e-005, +4.32844928919e+003
+6.96262626263e+006, -9.54788667660e-005, +3.16200151285e+003
+7.06060606061e+006, -8.77126839724e-005, +2.34930102690e+003
+7.15858585859e+006, -7.94386718633e-005, +1.78267135278e+003
+7.25656565657e+006, -7.16268677686e-005, +1.38829098168e+003
+7.35454545455e+006, -6.47156565074e-005, +1.10437885661e+003
+7.45252525253e+006, -5.87308573664e-005, +8.97920562554e+002
+7.55050505051e+006, -5.35537429190e-005, +7.40326357813e+002
+7.64848484848e+006, -4.90479922223e-005, +6.20118103700e+002
+7.74646464646e+006, -4.51779122148e-005, +5.26360455457e+002
+7.84444444444e+006, -4.17728127794e-005, +4.51719935686e+002
+7.94242424242e+006, -3.88153023966e-005, +3.91857818107e+002
+8.04040404040e+006, -3.61701853742e-005, +3.42320590779e+002
+8.13838383838e+006, -3.38418055663e-005, +3.01439452150e+002
+8.23636363636e+006, -3.17548376236e-005, +2.68062621694e+002
+8.33434343434e+006, -2.98752981335e-005, +2.39286721510e+002
+8.43232323232e+006, -2.81955267980e-005, +2.15474235308e+002
+8.53030303030e+006, -2.66673962145e-005, +1.94261797328e+002
+8.62828282828e+006, -2.52755949793e-005, +1.76317801825e+002
+8.72626262626e+006, -2.40121585420e-005, +1.60146101612e+002
+8.82424242424e+006, -2.28410023998e-005, +1.46771563541e+002
+8.92222222222e+006, -2.17779009583e-005, +1.34968634598e+002
+9.02020202020e+006, -2.07884002232e-005, +1.24391384621e+002
+9.11818181818e+006, -1.98815758897e-005, +1.14756940360e+002
+9.21616161616e+006, -1.90425355549e-005, +1.06369421033e+002
+9.31414141414e+006, -1.82540081595e-005, +9.88052523845e+001
+9.41212121212e+006, -1.75257458638e-005, +9.20498758780e+001
+9.51010101010e+006, -1.68478781392e-005, +8.61255682290e+001
+9.60808080808e+006, -1.62065293508e-005, +8.02739633987e+001
+9.70606060606e+006, -1.56083959329e-005, +7.54859719014e+001
+9.80404040404e+006, -1.50483634496e-005, +7.07517929698e+001
+9.90202020202e+006, -1.45195155656e-005, +6.67036966551e+001
+1.00000000000e+007, -1.40250123149e-005, +6.29955502643e+001
END
