!Agilent Technologies,E4990A,MY54100421,A.02.10
!Date: Thu Nov 09 14:44:08 2023

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.50000000000e+005, +2.21925239608e-005, +1.40559060166e+000
+1.55263157895e+005, +2.21781386993e-005, +1.45225479261e+000
+1.60526315789e+005, +2.21660592579e-005, +1.50117652461e+000
+1.65789473684e+005, +2.21533351188e-005, +1.54928525371e+000
+1.71052631579e+005, +2.21414162550e-005, +1.60034406715e+000
+1.76315789474e+005, +2.21286125382e-005, +1.65114109676e+000
+1.81578947368e+005, +2.21170749140e-005, +1.70468012519e+000
+1.86842105263e+005, +2.21051618382e-005, +1.75835214339e+000
+1.92105263158e+005, +2.20941630023e-005, +1.81287975509e+000
+1.97368421053e+005, +2.20825466558e-005, +1.86731129934e+000
+2.02631578947e+005, +2.20708321878e-005, +1.92563787467e+000
+2.07894736842e+005, +2.20602126947e-005, +1.98278891498e+000
+2.13157894737e+005, +2.20495562094e-005, +2.04194923997e+000
+2.18421052632e+005, +2.20380160893e-005, +2.10168457699e+000
+2.23684210526e+005, +2.20271143753e-005, +2.16244361351e+000
+2.28947368421e+005, +2.20168048588e-005, +2.22418918402e+000
+2.34210526316e+005, +2.20066629357e-005, +2.28708400132e+000
+2.39473684211e+005, +2.19946851494e-005, +2.35139930087e+000
+2.44736842105e+005, +2.19856968359e-005, +2.41686593772e+000
+2.50000000000e+005, +2.19744056388e-005, +2.48341268598e+000
+3.00000000000e+005, +2.18760249354e-005, +3.15785815048e+000
+3.97979797980e+005, +2.16843361396e-005, +4.70759281570e+000
+4.95959595960e+005, +2.14909273711e-005, +6.49987875304e+000
+5.93939393939e+005, +2.12960873868e-005, +8.47871845697e+000
+6.91919191919e+005, +2.11068591003e-005, +1.05696391348e+001
+7.89898989899e+005, +2.09270868966e-005, +1.27156842163e+001
+8.87878787879e+005, +2.07619573256e-005, +1.48771412273e+001
+9.85858585859e+005, +2.06170817088e-005, +1.70226379999e+001
+1.08383838384e+006, +2.04952898719e-005, +1.91555369667e+001
+1.18181818182e+006, +2.03947163518e-005, +2.12452311549e+001
+1.27979797980e+006, +2.03152570563e-005, +2.33140341346e+001
+1.37777777778e+006, +2.02591359152e-005, +2.53526345097e+001
+1.47575757576e+006, +2.02270528373e-005, +2.73359543070e+001
+1.57373737374e+006, +2.02147721834e-005, +2.93547984116e+001
+1.67171717172e+006, +2.02234256287e-005, +3.13479663385e+001
+1.76969696970e+006, +2.02529793708e-005, +3.33576927506e+001
+1.86767676768e+006, +2.03011844459e-005, +3.53856944805e+001
+1.96565656566e+006, +2.03699686996e-005, +3.74630346572e+001
+2.06363636364e+006, +2.04583762388e-005, +3.95546808743e+001
+2.16161616162e+006, +2.05635215365e-005, +4.17395371056e+001
+2.25959595960e+006, +2.06876461931e-005, +4.39689807009e+001
+2.35757575758e+006, +2.08302680404e-005, +4.63138776124e+001
+2.45555555556e+006, +2.09951183912e-005, +4.87418692570e+001
+2.55353535354e+006, +2.11764465936e-005, +5.12693238362e+001
+2.65151515152e+006, +2.13759364329e-005, +5.39228149844e+001
+2.74949494949e+006, +2.15962593558e-005, +5.67215843954e+001
+2.84747474747e+006, +2.18366319528e-005, +5.97158314375e+001
+2.94545454545e+006, +2.21016738893e-005, +6.28503302825e+001
+3.04343434343e+006, +2.23883976152e-005, +6.62954607246e+001
+3.14141414141e+006, +2.26969726335e-005, +6.98723084864e+001
+3.23939393939e+006, +2.30300294014e-005, +7.37270623817e+001
+3.33737373737e+006, +2.33932937834e-005, +7.79927969277e+001
+3.43535353535e+006, +2.37765142319e-005, +8.25065543175e+001
+3.53333333333e+006, +2.42017206481e-005, +8.73100866232e+001
+3.63131313131e+006, +2.46517335650e-005, +9.27076804769e+001
+3.72929292929e+006, +2.51381662795e-005, +9.84469528690e+001
+3.82727272727e+006, +2.56621611427e-005, +1.04790031308e+002
+3.92525252525e+006, +2.62245771183e-005, +1.11683699080e+002
+4.02323232323e+006, +2.68302352185e-005, +1.19429487922e+002
+4.12121212121e+006, +2.74880080528e-005, +1.28064951053e+002
+4.21919191919e+006, +2.81942117420e-005, +1.37302034003e+002
+4.31717171717e+006, +2.89612624637e-005, +1.47892055066e+002
+4.41515151515e+006, +2.97855693697e-005, +1.59622723904e+002
+4.51313131313e+006, +3.06988409191e-005, +1.72920997520e+002
+4.61111111111e+006, +3.16774761400e-005, +1.87926612503e+002
+4.70909090909e+006, +3.27509060324e-005, +2.04590049770e+002
+4.80707070707e+006, +3.39292025152e-005, +2.23902402588e+002
+4.90505050505e+006, +3.52120361345e-005, +2.46161734874e+002
+5.00303030303e+006, +3.66213489983e-005, +2.71652416900e+002
+5.10101010101e+006, +3.81995486729e-005, +3.01632518862e+002
+5.19898989899e+006, +3.99090774277e-005, +3.36375600901e+002
+5.29696969697e+006, +4.17952593187e-005, +3.76471269310e+002
+5.39494949495e+006, +4.39384101297e-005, +4.25094251437e+002
+5.49292929293e+006, +4.63336286223e-005, +4.84914419126e+002
+5.59090909091e+006, +4.90397057629e-005, +5.57217182124e+002
+5.68888888889e+006, +5.20725862340e-005, +6.47098621062e+002
+5.78686868687e+006, +5.55241024763e-005, +7.60393001964e+002
+5.88484848485e+006, +5.94200131487e-005, +9.04314375984e+002
+5.98282828283e+006, +6.37877445631e-005, +1.09094793734e+003
+6.08080808081e+006, +6.86774767558e-005, +1.34011819210e+003
+6.17878787879e+006, +7.39522084395e-005, +1.67395920567e+003
+6.27676767677e+006, +7.93138567946e-005, +2.13453782422e+003
+6.37474747475e+006, +8.38316561875e-005, +2.77260320393e+003
+6.47272727273e+006, +8.54870842016e-005, +3.65419953761e+003
+6.57070707071e+006, +7.99225293573e-005, +4.81531634112e+003
+6.66868686869e+006, +6.06493063029e-005, +6.13518636852e+003
+6.76666666667e+006, +2.30838443115e-005, +7.17617979701e+003
+6.86464646465e+006, -2.45035009125e-005, +7.27461530651e+003
+6.96262626263e+006, -6.27370809020e-005, +6.35800541358e+003
+7.06060606061e+006, -8.20676132962e-005, +5.01983742999e+003
+7.15858585859e+006, -8.64799894844e-005, +3.79930838560e+003
+7.25656565657e+006, -8.32199439577e-005, +2.86627490942e+003
+7.35454545455e+006, -7.72455626782e-005, +2.18493498727e+003
+7.45252525253e+006, -7.06375261284e-005, +1.69899172223e+003
+7.55050505051e+006, -6.43002921280e-005, +1.34827520549e+003
+7.64848484848e+006, -5.85763471901e-005, +1.09028862706e+003
+7.74646464646e+006, -5.35283543189e-005, +8.94786289524e+002
+7.84444444444e+006, -4.90860044917e-005, +7.46849736480e+002
+7.94242424242e+006, -4.51967900652e-005, +6.31199034646e+002
+8.04040404040e+006, -4.18118635911e-005, +5.39311435629e+002
+8.13838383838e+006, -3.88030389440e-005, +4.65001462265e+002
+8.23636363636e+006, -3.61509842246e-005, +4.05264405709e+002
+8.33434343434e+006, -3.37986972444e-005, +3.55856001524e+002
+8.43232323232e+006, -3.17019949840e-005, +3.15350767655e+002
+8.53030303030e+006, -2.98103762287e-005, +2.80534391232e+002
+8.62828282828e+006, -2.81102240988e-005, +2.51639744478e+002
+8.72626262626e+006, -2.65841737303e-005, +2.26544876312e+002
+8.82424242424e+006, -2.51903972315e-005, +2.05289057897e+002
+8.92222222222e+006, -2.39080127193e-005, +1.86594040842e+002
+9.02020202020e+006, -2.27314774568e-005, +1.70337295287e+002
+9.11818181818e+006, -2.16582440902e-005, +1.56087871831e+002
+9.21616161616e+006, -2.06699945264e-005, +1.43649695023e+002
+9.31414141414e+006, -1.97600514527e-005, +1.32250310220e+002
+9.41212121212e+006, -1.89092996340e-005, +1.22406531851e+002
+9.51010101010e+006, -1.81256357271e-005, +1.13408832999e+002
+9.60808080808e+006, -1.73999505051e-005, +1.05846148047e+002
+9.70606060606e+006, -1.67161481589e-005, +9.86142874750e+001
+9.80404040404e+006, -1.60784301979e-005, +9.20410508852e+001
+9.90202020202e+006, -1.54824073545e-005, +8.62473805007e+001
+1.00000000000e+007, -1.49207835169e-005, +8.09808827505e+001
END
