!Agilent Technologies,E4990A,MY54100421,A.02.10
!Date: Thu Nov 09 14:43:48 2023

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.50000000000e+005, +2.16221242219e-005, +1.46457524444e+000
+1.55263157895e+005, +2.16079618532e-005, +1.51236202851e+000
+1.60526315789e+005, +2.15929570667e-005, +1.56149234711e+000
+1.65789473684e+005, +2.15798539953e-005, +1.61235890522e+000
+1.71052631579e+005, +2.15664709350e-005, +1.66406023866e+000
+1.76315789474e+005, +2.15529362489e-005, +1.71567319222e+000
+1.81578947368e+005, +2.15401394570e-005, +1.77035227689e+000
+1.86842105263e+005, +2.15277096638e-005, +1.82426687162e+000
+1.92105263158e+005, +2.15155942798e-005, +1.87942847713e+000
+1.97368421053e+005, +2.15033466645e-005, +1.93707999022e+000
+2.02631578947e+005, +2.14906952680e-005, +1.99501523348e+000
+2.07894736842e+005, +2.14795404919e-005, +2.05332319032e+000
+2.13157894737e+005, +2.14672488616e-005, +2.11390467966e+000
+2.18421052632e+005, +2.14549447953e-005, +2.17491566925e+000
+2.23684210526e+005, +2.14433655289e-005, +2.23588690135e+000
+2.28947368421e+005, +2.14321157237e-005, +2.29940455071e+000
+2.34210526316e+005, +2.14206967178e-005, +2.36392677033e+000
+2.39473684211e+005, +2.14095041238e-005, +2.42885680136e+000
+2.44736842105e+005, +2.13981479368e-005, +2.49514049817e+000
+2.50000000000e+005, +2.13866702038e-005, +2.56280166404e+000
+3.00000000000e+005, +2.12835379099e-005, +3.24603422619e+000
+3.97979797980e+005, +2.10823811249e-005, +4.81183316664e+000
+4.95959595960e+005, +2.08804729980e-005, +6.61942271636e+000
+5.93939393939e+005, +2.06789139898e-005, +8.60678227185e+000
+6.91919191919e+005, +2.04823569424e-005, +1.07061009838e+001
+7.89898989899e+005, +2.02953455714e-005, +1.28628359690e+001
+8.87878787879e+005, +2.01234939563e-005, +1.50269336116e+001
+9.85858585859e+005, +1.99710718296e-005, +1.71766879509e+001
