!Agilent Technologies,E4990A,MY54100421,A.02.10
!Date: Thu Nov 09 14:43:48 2023

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.08383838384e+006, +1.98395397110e-005, +1.93085994130e+001
+1.18181818182e+006, +1.97301297353e-005, +2.14049375569e+001
+1.27979797980e+006, +1.96430382314e-005, +2.34623366843e+001
+1.37777777778e+006, +1.95768906558e-005, +2.54894408914e+001
+1.47575757576e+006, +1.95351132849e-005, +2.74821427482e+001
+1.57373737374e+006, +1.95112887765e-005, +2.94546593377e+001
+1.67171717172e+006, +1.95076619425e-005, +3.14397927688e+001
+1.76969696970e+006, +1.95254721832e-005, +3.34226793093e+001
+1.86767676768e+006, +1.95604915585e-005, +3.54402341417e+001
+1.96565656566e+006, +1.96149322346e-005, +3.74498901829e+001
+2.06363636364e+006, +1.96863054822e-005, +3.95141424191e+001
+2.16161616162e+006, +1.97768330499e-005, +4.16489252264e+001
+2.25959595960e+006, +1.98849906972e-005, +4.38479529297e+001
+2.35757575758e+006, +2.00110895279e-005, +4.60757880525e+001
+2.45555555556e+006, +2.01530415442e-005, +4.84799965161e+001
+2.55353535354e+006, +2.03145426488e-005, +5.09237002734e+001
+2.65151515152e+006, +2.04907008682e-005, +5.34994058078e+001
+2.74949494949e+006, +2.06864616551e-005, +5.62671204947e+001
+2.84747474747e+006, +2.09021707655e-005, +5.90306746995e+001
+2.94545454545e+006, +2.11383779489e-005, +6.20775008610e+001
+3.04343434343e+006, +2.13931926562e-005, +6.53269971857e+001
+3.14141414141e+006, +2.16713196292e-005, +6.88357119215e+001
+3.23939393939e+006, +2.19713806666e-005, +7.24563560302e+001
+3.33737373737e+006, +2.22925438946e-005, +7.64110178722e+001
+3.43535353535e+006, +2.26430634316e-005, +8.07373600424e+001
+3.53333333333e+006, +2.30176120275e-005, +8.53901413982e+001
+3.63131313131e+006, +2.34185631423e-005, +9.03558787741e+001
+3.72929292929e+006, +2.38482436913e-005, +9.57550571949e+001
+3.82727272727e+006, +2.43092293905e-005, +1.01608884668e+002
+3.92525252525e+006, +2.48144028823e-005, +1.08045666948e+002
+4.02323232323e+006, +2.53535405412e-005, +1.15003106355e+002
+4.12121212121e+006, +2.59282699941e-005, +1.22841122348e+002
+4.21919191919e+006, +2.65572332194e-005, +1.31510297255e+002
+4.31717171717e+006, +2.72257371575e-005, +1.40942412658e+002
+4.41515151515e+006, +2.79535108833e-005, +1.51700555536e+002
+4.51313131313e+006, +2.87487065751e-005, +1.63444896393e+002
+4.61111111111e+006, +2.95995926485e-005, +1.76761100797e+002
+4.70909090909e+006, +3.05236913970e-005, +1.91630000064e+002
+4.80707070707e+006, +3.15350897917e-005, +2.08537559089e+002
+4.90505050505e+006, +3.26344327330e-005, +2.28059427414e+002
+5.00303030303e+006, +3.38520998230e-005, +2.49964114388e+002
+5.10101010101e+006, +3.51718723426e-005, +2.75086393973e+002
+5.19898989899e+006, +3.66201974164e-005, +3.04754699894e+002
+5.29696969697e+006, +3.81966233814e-005, +3.37960401994e+002
+5.39494949495e+006, +3.99770056323e-005, +3.77847068827e+002
+5.49292929293e+006, +4.19654992785e-005, +4.25569980986e+002
+5.59090909091e+006, +4.41480361538e-005, +4.83003423395e+002
+5.68888888889e+006, +4.66194586431e-005, +5.53279341391e+002
+5.78686868687e+006, +4.94102599756e-005, +6.39863776716e+002
+5.88484848485e+006, +5.24953402589e-005, +7.47871099834e+002
+5.98282828283e+006, +5.60040796686e-005, +8.81514037029e+002
+6.08080808081e+006, +5.98984903720e-005, +1.05667975242e+003
+6.17878787879e+006, +6.42317059191e-005, +1.28524660931e+003
+6.27676767677e+006, +6.88832839810e-005, +1.58583540630e+003
+6.37474747475e+006, +7.36725248102e-005, +1.99474415782e+003
+6.47272727273e+006, +7.77507811499e-005, +2.55058606764e+003
+6.57070707071e+006, +7.96494017235e-005, +3.31308231705e+003
+6.66868686869e+006, +7.63043138537e-005, +4.31690671750e+003
+6.76666666667e+006, +6.28269678922e-005, +5.49629451350e+003
+6.86464646465e+006, +3.44879623984e-005, +6.57726896621e+003
+6.96262626263e+006, -6.38069426203e-006, +7.00650582487e+003
+7.06060606061e+006, -4.54920270319e-005, +6.49820058024e+003
+7.15858585859e+006, -7.02223540868e-005, +5.38972996386e+003
+7.25656565657e+006, -7.98617715212e-005, +4.20323179564e+003
+7.35454545455e+006, -7.99789521969e-005, +3.20551101628e+003
+7.45252525253e+006, -7.56284673690e-005, +2.46272562061e+003
+7.55050505051e+006, -6.99768319006e-005, +1.91243862621e+003
+7.64848484848e+006, -6.41655025196e-005, +1.51509174987e+003
+7.74646464646e+006, -5.86118412457e-005, +1.22143954689e+003
+7.84444444444e+006, -5.36534963686e-005, +9.99259955655e+002
+7.94242424242e+006, -4.92678468768e-005, +8.31725005292e+002
+8.04040404040e+006, -4.54091234577e-005, +7.00999650503e+002
+8.13838383838e+006, -4.19902367014e-005, +5.96951804062e+002
+8.23636363636e+006, -3.89765777073e-005, +5.14256272126e+002
+8.33434343434e+006, -3.63094421058e-005, +4.46988451527e+002
+8.43232323232e+006, -3.39313437138e-005, +3.91396861008e+002
+8.53030303030e+006, -3.17959405332e-005, +3.45795065327e+002
+8.62828282828e+006, -2.98903083645e-005, +3.07547520846e+002
+8.72626262626e+006, -2.81739322745e-005, +2.75096989721e+002
+8.82424242424e+006, -2.66180622209e-005, +2.47259681809e+002
+8.92222222222e+006, -2.52049118544e-005, +2.23269798033e+002
+9.02020202020e+006, -2.39219344886e-005, +2.02903075871e+002
+9.11818181818e+006, -2.27393491582e-005, +1.85193588215e+002
+9.21616161616e+006, -2.16589838433e-005, +1.69260915225e+002
+9.31414141414e+006, -2.06648581271e-005, +1.55427769654e+002
+9.41212121212e+006, -1.97494796414e-005, +1.43576582264e+002
+9.51010101010e+006, -1.88921891482e-005, +1.32646594959e+002
+9.60808080808e+006, -1.81011815670e-005, +1.22770545091e+002
+9.70606060606e+006, -1.73690253499e-005, +1.14186081163e+002
+9.80404040404e+006, -1.66835597177e-005, +1.06262884168e+002
+9.90202020202e+006, -1.60433617880e-005, +9.94830940583e+001
+1.00000000000e+007, -1.54450695937e-005, +9.27826238512e+001
END
