T
850.1
850.1
850.1
850.1
850.1
850.1
850.1
850.1
850.1
849.8
849.8
839.1
839.1
795.2
795.2
712.3
712.3
616.9
616.9
536.7
536.7
458.7
458.7
403.4
403.4
359.2
359.2
320.8
320.8
284
284
238.8
238.8
208.1
208.1
182.4
182.4
160.7
160.7
142.4
142.4
120.7
120.7
58.8
58.8
35.1
35.1
29.8
29.8
27.4
27.4
25.4
25.4
24.4
24.4
23.6
23.6
23.2
23.2
22.9
22.9
22.9
22.9
