!Agilent Technologies,E4990A,MY54100421,A.02.10
!Date: Thu Nov 09 14:44:16 2023

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.50000000000e+005, +2.24535853032e-005, +1.37776138867e+000
+1.55263157895e+005, +2.24403596421e-005, +1.42407646009e+000
+1.60526315789e+005, +2.24286048807e-005, +1.47194188612e+000
+1.65789473684e+005, +2.24158491631e-005, +1.52092693240e+000
+1.71052631579e+005, +2.24048151177e-005, +1.57062462926e+000
+1.76315789474e+005, +2.23927765045e-005, +1.62155852447e+000
+1.81578947368e+005, +2.23815752479e-005, +1.67330427579e+000
+1.86842105263e+005, +2.23701774444e-005, +1.72635365486e+000
+1.92105263158e+005, +2.23590843672e-005, +1.78015018958e+000
+1.97368421053e+005, +2.23479783620e-005, +1.83600441693e+000
+2.02631578947e+005, +2.23368537223e-005, +1.89226455059e+000
+2.07894736842e+005, +2.23258825423e-005, +1.94920317211e+000
+2.13157894737e+005, +2.23155928727e-005, +2.00808880530e+000
+2.18421052632e+005, +2.23051173047e-005, +2.06703789127e+000
+2.23684210526e+005, +2.22951008983e-005, +2.12830524135e+000
+2.28947368421e+005, +2.22842592492e-005, +2.19020790445e+000
+2.34210526316e+005, +2.22733695618e-005, +2.25223643520e+000
+2.39473684211e+005, +2.22635968766e-005, +2.31574184261e+000
+2.44736842105e+005, +2.22534404798e-005, +2.38064434289e+000
+2.50000000000e+005, +2.22434557435e-005, +2.44587174073e+000
+3.00000000000e+005, +2.21473701741e-005, +3.11731377473e+000
+3.97979797980e+005, +2.19596434909e-005, +4.65871631976e+000
+4.95959595960e+005, +2.17707932804e-005, +6.44855729508e+000
+5.93939393939e+005, +2.15799661002e-005, +8.42054884235e+000
+6.91919191919e+005, +2.13929307106e-005, +1.05040830930e+001
+7.89898989899e+005, +2.12164216641e-005, +1.26458264273e+001
+8.87878787879e+005, +2.10558117745e-005, +1.48085237909e+001
+9.85858585859e+005, +2.09137310620e-005, +1.69602587159e+001
+1.08383838384e+006, +2.07950801495e-005, +1.90831780593e+001
+1.18181818182e+006, +2.06981385063e-005, +2.11775735140e+001
+1.27979797980e+006, +2.06247843047e-005, +2.32461741626e+001
+1.37777777778e+006, +2.05732263532e-005, +2.52975633101e+001
+1.47575757576e+006, +2.05463092703e-005, +2.72858908909e+001
+1.57373737374e+006, +2.05361943755e-005, +2.92987661758e+001
+1.67171717172e+006, +2.05407243236e-005, +3.12665746552e+001
+1.76969696970e+006, +2.05749421207e-005, +3.32783393830e+001
+1.86767676768e+006, +2.06272111905e-005, +3.53032300078e+001
+1.96565656566e+006, +2.07021274016e-005, +3.73859289260e+001
+2.06363636364e+006, +2.08051813480e-005, +3.95503686173e+001
+2.16161616162e+006, +2.09194252364e-005, +4.17516464374e+001
+2.25959595960e+006, +2.10541423368e-005, +4.40166287996e+001
+2.35757575758e+006, +2.12082946400e-005, +4.63704589685e+001
+2.45555555556e+006, +2.13774708063e-005, +4.88309815992e+001
+2.55353535354e+006, +2.15704738238e-005, +5.14044610467e+001
+2.65151515152e+006, +2.17812758383e-005, +5.41249437006e+001
+2.74949494949e+006, +2.20150947387e-005, +5.69964896098e+001
+2.84747474747e+006, +2.22683669732e-005, +5.99736928619e+001
+2.94545454545e+006, +2.25467375892e-005, +6.32364308529e+001
+3.04343434343e+006, +2.28475715228e-005, +6.66183550568e+001
+3.14141414141e+006, +2.31713177606e-005, +7.03421890180e+001
+3.23939393939e+006, +2.35237320878e-005, +7.42950657640e+001
+3.33737373737e+006, +2.39031372343e-005, +7.85954080496e+001
+3.43535353535e+006, +2.43085857616e-005, +8.32945183367e+001
+3.53333333333e+006, +2.47569478421e-005, +8.83980179388e+001
+3.63131313131e+006, +2.52266046413e-005, +9.37495090947e+001
+3.72929292929e+006, +2.57378200355e-005, +9.97091088688e+001
+3.82727272727e+006, +2.62933780327e-005, +1.06250144574e+002
+3.92525252525e+006, +2.68886361694e-005, +1.13512163111e+002
+4.02323232323e+006, +2.75256555800e-005, +1.21508861040e+002
+4.12121212121e+006, +2.82190588534e-005, +1.30343011968e+002
+4.21919191919e+006, +2.89700466881e-005, +1.40143520570e+002
+4.31717171717e+006, +2.97875929130e-005, +1.51029219420e+002
+4.41515151515e+006, +3.06688283775e-005, +1.63361231582e+002
+4.51313131313e+006, +3.16204151038e-005, +1.77268626569e+002
+4.61111111111e+006, +3.26734006323e-005, +1.93195330991e+002
+4.70909090909e+006, +3.38202959383e-005, +2.10887849687e+002
+4.80707070707e+006, +3.50740749689e-005, +2.31581599758e+002
+4.90505050505e+006, +3.64550196114e-005, +2.55073917744e+002
+5.00303030303e+006, +3.79921109266e-005, +2.82674994463e+002
+5.10101010101e+006, +3.96703465255e-005, +3.14940051016e+002
+5.19898989899e+006, +4.15490729317e-005, +3.52731231291e+002
+5.29696969697e+006, +4.35758862736e-005, +3.95909266709e+002
+5.39494949495e+006, +4.59059551251e-005, +4.50002767730e+002
+5.49292929293e+006, +4.85330962604e-005, +5.16213939435e+002
+5.59090909091e+006, +5.14955350285e-005, +5.96744055685e+002
+5.68888888889e+006, +5.48563487846e-005, +6.97742634384e+002
+5.78686868687e+006, +5.86281785215e-005, +8.27460740251e+002
+5.88484848485e+006, +6.29852910636e-005, +9.93507899478e+002
+5.98282828283e+006, +6.78195922449e-005, +1.21269721065e+003
+6.08080808081e+006, +7.32313940175e-005, +1.50786285249e+003
+6.17878787879e+006, +7.88900572136e-005, +1.90701002663e+003
+6.27676767677e+006, +8.43590304835e-005, +2.47233620441e+003
+6.37474747475e+006, +8.78309406675e-005, +3.25861670588e+003
+6.47272727273e+006, +8.63855668144e-005, +4.33231890620e+003
+6.57070707071e+006, +7.37246216868e-005, +5.68632388304e+003
+6.66868686869e+006, +4.24820768855e-005, +6.98874418166e+003
+6.76666666667e+006, -5.66254063076e-006, +7.54824812890e+003
+6.86464646465e+006, -5.20537590215e-005, +6.94795064423e+003
+6.96262626263e+006, -7.96334803787e-005, +5.63119471358e+003
+7.06060606061e+006, -8.89186268535e-005, +4.27800663506e+003
+7.15858585859e+006, -8.74508683757e-005, +3.20068734704e+003
+7.25656565657e+006, -8.16622536773e-005, +2.40825559030e+003
+7.35454545455e+006, -7.46495680304e-005, +1.85476424752e+003
+7.45252525253e+006, -6.78965164503e-005, +1.45433238980e+003
+7.55050505051e+006, -6.16752381289e-005, +1.16384115487e+003
+7.64848484848e+006, -5.62114604596e-005, +9.48533502140e+002
+7.74646464646e+006, -5.13963479838e-005, +7.85037692433e+002
+7.84444444444e+006, -4.72319948785e-005, +6.59173472838e+002
+7.94242424242e+006, -4.35519315267e-005, +5.61166750344e+002
+8.04040404040e+006, -4.03672556668e-005, +4.82316052859e+002
+8.13838383838e+006, -3.75330063685e-005, +4.19842202375e+002
+8.23636363636e+006, -3.50334528510e-005, +3.66881932648e+002
+8.33434343434e+006, -3.28115305253e-005, +3.23362006341e+002
