!Agilent Technologies,E4990A,MY54100421,A.02.10
!Date: Thu Nov 09 14:44:16 2023

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+8.43232323232e+006, -3.08159458001e-005, +2.87228531574e+002
+8.53030303030e+006, -2.90130895673e-005, +2.57325222039e+002
+8.62828282828e+006, -2.73865717398e-005, +2.30929306573e+002
+8.72626262626e+006, -2.59142432800e-005, +2.08334443213e+002
+8.82424242424e+006, -2.45821533325e-005, +1.89067306906e+002
+8.92222222222e+006, -2.33585346043e-005, +1.72495814636e+002
+9.02020202020e+006, -2.22403734203e-005, +1.57877891016e+002
+9.11818181818e+006, -2.12066397400e-005, +1.44800937537e+002
+9.21616161616e+006, -2.02584385636e-005, +1.33477038449e+002
+9.31414141414e+006, -1.93783189354e-005, +1.23330847859e+002
+9.41212121212e+006, -1.85610769255e-005, +1.14429948144e+002
+9.51010101010e+006, -1.78058987646e-005, +1.06286313529e+002
+9.60808080808e+006, -1.70982059454e-005, +9.91330444584e+001
+9.70606060606e+006, -1.64377870934e-005, +9.24309268184e+001
+9.80404040404e+006, -1.58226956861e-005, +8.65975840750e+001
+9.90202020202e+006, -1.52429217838e-005, +8.13228377990e+001
+1.00000000000e+007, -1.47008726448e-005, +7.63250004241e+001
END
