!Agilent Technologies,E4990A,MY54100421,A.02.10
!Date: Thu Nov 09 14:43:31 2023

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.50000000000e+005, +2.13043713728e-005, +1.49668802804e+000
+1.55263157895e+005, +2.12894454870e-005, +1.54527602700e+000
+1.60526315789e+005, +2.12751059209e-005, +1.59565930227e+000
+1.65789473684e+005, +2.12603909965e-005, +1.64655505642e+000
+1.71052631579e+005, +2.12466535271e-005, +1.69853449488e+000
+1.76315789474e+005, +2.12331851982e-005, +1.75239286554e+000
+1.81578947368e+005, +2.12191265702e-005, +1.80610381447e+000
+1.86842105263e+005, +2.12059425750e-005, +1.86171100006e+000
+1.92105263158e+005, +2.11934157261e-005, +1.91787844036e+000
+1.97368421053e+005, +2.11805062565e-005, +1.97460598791e+000
+2.02631578947e+005, +2.11682638008e-005, +2.03327926656e+000
+2.07894736842e+005, +2.11555189599e-005, +2.09381478981e+000
+2.13157894737e+005, +2.11435675853e-005, +2.15309226686e+000
+2.18421052632e+005, +2.11308894031e-005, +2.21483090416e+000
+2.23684210526e+005, +2.11186998596e-005, +2.27781630426e+000
+2.28947368421e+005, +2.11072325755e-005, +2.34048706226e+000
+2.34210526316e+005, +2.10955071274e-005, +2.40568250446e+000
+2.39473684211e+005, +2.10839319343e-005, +2.47133946938e+000
+2.44736842105e+005, +2.10722038495e-005, +2.53866710029e+000
+2.50000000000e+005, +2.10609599150e-005, +2.60490766135e+000
+3.00000000000e+005, +2.09533651518e-005, +3.29492074647e+000
+3.97979797980e+005, +2.07476364076e-005, +4.86965912728e+000
+4.95959595960e+005, +2.05421659214e-005, +6.68402616926e+000
+5.93939393939e+005, +2.03360679440e-005, +8.67897900051e+000
+6.91919191919e+005, +2.01354671606e-005, +1.07818260031e+001
+7.89898989899e+005, +1.99443287240e-005, +1.29439994678e+001
+8.87878787879e+005, +1.97696755517e-005, +1.51092383529e+001
+9.85858585859e+005, +1.96124814927e-005, +1.72656609324e+001
+1.08383838384e+006, +1.94767105322e-005, +1.93907478217e+001
+1.18181818182e+006, +1.93629657849e-005, +2.14849067199e+001
+1.27979797980e+006, +1.92700113849e-005, +2.35401526091e+001
+1.37777777778e+006, +1.91995037535e-005, +2.55653838224e+001
+1.47575757576e+006, +1.91505150614e-005, +2.75385156540e+001
+1.57373737374e+006, +1.91217143008e-005, +2.95193721819e+001
+1.67171717172e+006, +1.91124833053e-005, +3.14889804012e+001
+1.76969696970e+006, +1.91229329357e-005, +3.34472248800e+001
+1.86767676768e+006, +1.91524043546e-005, +3.54414380893e+001
+1.96565656566e+006, +1.91983726462e-005, +3.74600447870e+001
+2.06363636364e+006, +1.92618063030e-005, +3.95097645404e+001
+2.16161616162e+006, +1.93449335593e-005, +4.15952281892e+001
+2.25959595960e+006, +1.94431982377e-005, +4.37387520854e+001
+2.35757575758e+006, +1.95552571908e-005, +4.60012764630e+001
+2.45555555556e+006, +1.96876714714e-005, +4.83099499969e+001
+2.55353535354e+006, +1.98407268292e-005, +5.07079522277e+001
+2.65151515152e+006, +2.00037468419e-005, +5.32710731203e+001
+2.74949494949e+006, +2.01882370595e-005, +5.58950802551e+001
+2.84747474747e+006, +2.03917612705e-005, +5.86945392252e+001
+2.94545454545e+006, +2.06114571274e-005, +6.16684276751e+001
+3.04343434343e+006, +2.08504966411e-005, +6.48442799502e+001
+3.14141414141e+006, +2.11107436703e-005, +6.81993863098e+001
+3.23939393939e+006, +2.13883335150e-005, +7.18472948602e+001
+3.33737373737e+006, +2.16932301178e-005, +7.56242158981e+001
+3.43535353535e+006, +2.20197937213e-005, +7.98139002654e+001
+3.53333333333e+006, +2.23684762848e-005, +8.42432739375e+001
+3.63131313131e+006, +2.27444571000e-005, +8.90939909570e+001
+3.72929292929e+006, +2.31480560623e-005, +9.44050164839e+001
+3.82727272727e+006, +2.35795169730e-005, +1.00050756313e+002
+3.92525252525e+006, +2.40499000875e-005, +1.06104480395e+002
+4.02323232323e+006, +2.45527506632e-005, +1.12842570033e+002
+4.12121212121e+006, +2.50882515523e-005, +1.20166734476e+002
+4.21919191919e+006, +2.56660252400e-005, +1.28469307996e+002
+4.31717171717e+006, +2.62939974944e-005, +1.37449253592e+002
+4.41515151515e+006, +2.69660351307e-005, +1.47511891225e+002
+4.51313131313e+006, +2.76966119230e-005, +1.58590503393e+002
+4.61111111111e+006, +2.84842177954e-005, +1.71177003054e+002
+4.70909090909e+006, +2.93428919231e-005, +1.85071689456e+002
+4.80707070707e+006, +3.02751295736e-005, +2.00630670395e+002
+4.90505050505e+006, +3.12807144489e-005, +2.18665419690e+002
+5.00303030303e+006, +3.23831652568e-005, +2.38657215859e+002
+5.10101010101e+006, +3.35994240310e-005, +2.62036187574e+002
+5.19898989899e+006, +3.49166796156e-005, +2.88999064148e+002
+5.29696969697e+006, +3.63351194735e-005, +3.18320595484e+002
+5.39494949495e+006, +3.79352066724e-005, +3.54742145712e+002
+5.49292929293e+006, +3.97196554609e-005, +3.97829416000e+002
+5.59090909091e+006, +4.16951659920e-005, +4.48598876128e+002
+5.68888888889e+006, +4.38925752071e-005, +5.09849009234e+002
+5.78686868687e+006, +4.63590417083e-005, +5.83731568269e+002
+5.88484848485e+006, +4.90947744247e-005, +6.75487370337e+002
+5.98282828283e+006, +5.21700663993e-005, +7.89735213348e+002
+6.08080808081e+006, +5.56356977800e-005, +9.33784014160e+002
+6.17878787879e+006, +5.94647436273e-005, +1.11938798415e+003
+6.27676767677e+006, +6.36066783983e-005, +1.36258518116e+003
+6.37474747475e+006, +6.80369933934e-005, +1.68522355451e+003
+6.47272727273e+006, +7.22245592944e-005, +2.11727173084e+003
+6.57070707071e+006, +7.56020935147e-005, +2.70383203845e+003
+6.66868686869e+006, +7.62270315856e-005, +3.49131679414e+003
+6.76666666667e+006, +7.10530829208e-005, +4.49579671700e+003
+6.86464646465e+006, +5.49830518849e-005, +5.61911601913e+003
+6.96262626263e+006, +2.52420576891e-005, +6.54543556889e+003
+7.06060606061e+006, -1.38393191557e-005, +6.77780191678e+003
+7.15858585859e+006, -4.86420492005e-005, +6.17134637736e+003
+7.25656565657e+006, -6.93014177817e-005, +5.08901834056e+003
+7.35454545455e+006, -7.69883350150e-005, +3.97436761413e+003
+7.45252525253e+006, -7.65767124629e-005, +3.05900938129e+003
+7.55050505051e+006, -7.25131004063e-005, +2.36536797571e+003
+7.64848484848e+006, -6.71600208391e-005, +1.85005317488e+003
+7.74646464646e+006, -6.16779402183e-005, +1.47859297474e+003
+7.84444444444e+006, -5.65106036017e-005, +1.19740933888e+003
+7.94242424242e+006, -5.18519806644e-005, +9.85849512852e+002
+8.04040404040e+006, -4.77060672117e-005, +8.21606234787e+002
+8.13838383838e+006, -4.40657574768e-005, +6.95091116393e+002
+8.23636363636e+006, -4.07832295372e-005, +5.94679222682e+002
+8.33434343434e+006, -3.79195538713e-005, +5.12252197208e+002
+8.43232323232e+006, -3.53585256143e-005, +4.47275528721e+002
+8.53030303030e+006, -3.30860749625e-005, +3.92515110686e+002
+8.62828282828e+006, -3.10407351223e-005, +3.47112094500e+002
+8.72626262626e+006, -2.92040246645e-005, +3.09154956143e+002
+8.82424242424e+006, -2.75403422057e-005, +2.77170757157e+002
+8.92222222222e+006, -2.60425496154e-005, +2.49380992124e+002
+9.02020202020e+006, -2.46803828451e-005, +2.25552299815e+002
+9.11818181818e+006, -2.34359631018e-005, +2.05079909344e+002
+9.21616161616e+006, -2.22826593883e-005, +1.87397641865e+002
+9.31414141414e+006, -2.12438434829e-005, +1.71406320610e+002
+9.41212121212e+006, -2.02793927521e-005, +1.57551437471e+002
+9.51010101010e+006, -1.93790659162e-005, +1.45130964081e+002
+9.60808080808e+006, -1.85520603906e-005, +1.34507624479e+002
+9.70606060606e+006, -1.77855664480e-005, +1.24564215473e+002
+9.80404040404e+006, -1.70700969411e-005, +1.15884947026e+002
+9.90202020202e+006, -1.64017649635e-005, +1.08246546587e+002
+1.00000000000e+007, -1.57794037562e-005, +1.00892623224e+002
END
