!Agilent Technologies,E4990A,MY54100421,A.02.10
!Date: Thu Nov 09 14:44:34 2023

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.50000000000e+005, +2.29260399867e-005, +1.32788511146e+000
+1.55263157895e+005, +2.29136364746e-005, +1.37373417629e+000
+1.60526315789e+005, +2.29029961715e-005, +1.41991685095e+000
+1.65789473684e+005, +2.28918900255e-005, +1.46880187941e+000
+1.71052631579e+005, +2.28800032183e-005, +1.51606919249e+000
+1.76315789474e+005, +2.28704048253e-005, +1.56659324838e+000
+1.81578947368e+005, +2.28594728110e-005, +1.61736171364e+000
+1.86842105263e+005, +2.28490759650e-005, +1.66973176589e+000
+1.92105263158e+005, +2.28386919467e-005, +1.72304751388e+000
+1.97368421053e+005, +2.28280664489e-005, +1.77741373916e+000
+2.02631578947e+005, +2.28178749831e-005, +1.83372733794e+000
+2.07894736842e+005, +2.28082361871e-005, +1.88901676655e+000
+2.13157894737e+005, +2.27977591003e-005, +1.94667547386e+000
+2.18421052632e+005, +2.27882401101e-005, +2.00571281073e+000
+2.23684210526e+005, +2.27789506475e-005, +2.06522349586e+000
+2.28947368421e+005, +2.27684183936e-005, +2.12591038657e+000
+2.34210526316e+005, +2.27595271057e-005, +2.18747548293e+000
+2.39473684211e+005, +2.27494658940e-005, +2.25095450304e+000
+2.44736842105e+005, +2.27398164419e-005, +2.31412209136e+000
+2.50000000000e+005, +2.27301683961e-005, +2.37915320888e+000
+3.00000000000e+005, +2.26396942365e-005, +3.04295052179e+000
+3.97979797980e+005, +2.24588388601e-005, +4.57163443010e+000
+4.95959595960e+005, +2.22764671023e-005, +6.34742169392e+000
+5.93939393939e+005, +2.20926331976e-005, +8.30772257726e+000
+6.91919191919e+005, +2.19117591162e-005, +1.03849615675e+001
+7.89898989899e+005, +2.17413094732e-005, +1.25274006572e+001
+8.87878787879e+005, +2.15862604796e-005, +1.46786592325e+001
+9.85858585859e+005, +2.14521388153e-005, +1.68235134991e+001
+1.08383838384e+006, +2.13389960417e-005, +1.89555952451e+001
+1.18181818182e+006, +2.12501041523e-005, +2.10587870248e+001
+1.27979797980e+006, +2.11832825398e-005, +2.31286629442e+001
+1.37777777778e+006, +2.11404170371e-005, +2.51842849707e+001
+1.47575757576e+006, +2.11214441080e-005, +2.71933024733e+001
+1.57373737374e+006, +2.11238438304e-005, +2.92166330317e+001
+1.67171717172e+006, +2.11505828534e-005, +3.12367823511e+001
+1.76969696970e+006, +2.11952322822e-005, +3.32807910380e+001
+1.86767676768e+006, +2.12603965732e-005, +3.53455824314e+001
+1.96565656566e+006, +2.13465463882e-005, +3.74606738220e+001
+2.06363636364e+006, +2.14574314969e-005, +3.96106743923e+001
+2.16161616162e+006, +2.15834919259e-005, +4.18462519073e+001
+2.25959595960e+006, +2.17317775849e-005, +4.41438317246e+001
+2.35757575758e+006, +2.18994424960e-005, +4.65453485547e+001
+2.45555555556e+006, +2.20892887820e-005, +4.90690134133e+001
+2.55353535354e+006, +2.22991486105e-005, +5.17310298977e+001
+2.65151515152e+006, +2.25334550388e-005, +5.45027208828e+001
+2.74949494949e+006, +2.27852203639e-005, +5.74258821952e+001
+2.84747474747e+006, +2.30653205321e-005, +6.05550940204e+001
+2.94545454545e+006, +2.33696376124e-005, +6.39170254501e+001
+3.04343434343e+006, +2.36952588431e-005, +6.75315648175e+001
