!Agilent Technologies,E4990A,MY54100421,A.02.10
!Date: Thu Nov 09 14:44:34 2023

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+3.14141414141e+006, +2.40502917671e-005, +7.13504967823e+001
+3.23939393939e+006, +2.44338397764e-005, +7.55019761774e+001
+3.33737373737e+006, +2.48474181014e-005, +7.99753473697e+001
+3.43535353535e+006, +2.52955578981e-005, +8.48527246629e+001
+3.53333333333e+006, +2.57730564432e-005, +9.01273302694e+001
+3.63131313131e+006, +2.62988662459e-005, +9.58670283181e+001
+3.72929292929e+006, +2.68619394812e-005, +1.02180351346e+002
+3.82727272727e+006, +2.74622855310e-005, +1.09176550993e+002
+3.92525252525e+006, +2.81134189222e-005, +1.16857587810e+002
+4.02323232323e+006, +2.88262560545e-005, +1.25475510116e+002
+4.12121212121e+006, +2.95903670805e-005, +1.34935797729e+002
+4.21919191919e+006, +3.04196864946e-005, +1.45652590559e+002
+4.31717171717e+006, +3.13283337113e-005, +1.57411873020e+002
+4.41515151515e+006, +3.23168134505e-005, +1.70836997628e+002
+4.51313131313e+006, +3.33855297885e-005, +1.85831997640e+002
+4.61111111111e+006, +3.45666798059e-005, +2.03832994994e+002
+4.70909090909e+006, +3.58586158132e-005, +2.23355996161e+002
+4.80707070707e+006, +3.72752286556e-005, +2.46431914360e+002
+4.90505050505e+006, +3.88455680569e-005, +2.73131987156e+002
+5.00303030303e+006, +4.05919530442e-005, +3.04156569503e+002
+5.10101010101e+006, +4.25167483486e-005, +3.41434794120e+002
+5.19898989899e+006, +4.46772158872e-005, +3.85600224870e+002
+5.29696969697e+006, +4.70486749458e-005, +4.36282040338e+002
+5.39494949495e+006, +4.97669062529e-005, +5.00586406789e+002
+5.49292929293e+006, +5.28548497843e-005, +5.79994065814e+002
+5.59090909091e+006, +5.63644248263e-005, +6.79201765308e+002
+5.68888888889e+006, +6.03874158879e-005, +8.06712249341e+002
+5.78686868687e+006, +6.49496115428e-005, +9.71692503337e+002
+5.88484848485e+006, +7.01166041015e-005, +1.18816806650e+003
+5.98282828283e+006, +7.59006568097e-005, +1.48359663442e+003
+6.08080808081e+006, +8.21758902503e-005, +1.89065252459e+003
+6.17878787879e+006, +8.81848399704e-005, +2.46592914728e+003
+6.27676767677e+006, +9.27789924491e-005, +3.27848244443e+003
+6.37474747475e+006, +9.19595483405e-005, +4.41507250751e+003
+6.47272727273e+006, +7.89610679619e-005, +5.85568539960e+003
+6.57070707071e+006, +4.47531028915e-005, +7.27350064468e+003
+6.66868686869e+006, -8.37247515343e-006, +7.86592373001e+003
+6.76666666667e+006, -5.85306093306e-005, +7.12936675332e+003
+6.86464646465e+006, -8.65431353882e-005, +5.66776846269e+003
+6.96262626263e+006, -9.43823552878e-005, +4.23389673839e+003
+7.06060606061e+006, -9.13987870509e-005, +3.13507681220e+003
+7.15858585859e+006, -8.44318539692e-005, +2.34396210509e+003
+7.25656565657e+006, -7.68315304520e-005, +1.79185309821e+003
+7.35454545455e+006, -6.95024879934e-005, +1.39997853302e+003
+7.45252525253e+006, -6.29590921934e-005, +1.11880575425e+003
+7.55050505051e+006, -5.72664026959e-005, +9.12395648944e+002
+7.64848484848e+006, -5.23191740543e-005, +7.53458577609e+002
+7.74646464646e+006, -4.79959109076e-005, +6.32204285874e+002
+7.84444444444e+006, -4.42387238798e-005, +5.38556713533e+002
+7.94242424242e+006, -4.09589836899e-005, +4.62676563653e+002
+8.04040404040e+006, -3.80826469943e-005, +4.01747120167e+002
+8.13838383838e+006, -3.55225231659e-005, +3.51822964069e+002
+8.23636363636e+006, -3.32524521367e-005, +3.09801610030e+002
+8.33434343434e+006, -3.12092658773e-005, +2.75647541877e+002
+8.43232323232e+006, -2.93934305548e-005, +2.46312990800e+002
+8.53030303030e+006, -2.77441828474e-005, +2.20981027874e+002
+8.62828282828e+006, -2.62453777576e-005, +1.99591343403e+002
+8.72626262626e+006, -2.48861528989e-005, +1.81433665017e+002
+8.82424242424e+006, -2.36456188154e-005, +1.65306633430e+002
+8.92222222222e+006, -2.25034471154e-005, +1.51049958611e+002
+9.02020202020e+006, -2.14556097318e-005, +1.38941315592e+002
+9.11818181818e+006, -2.04956781328e-005, +1.27918506170e+002
+9.21616161616e+006, -1.96023476506e-005, +1.18254409648e+002
+9.31414141414e+006, -1.87765301028e-005, +1.09422822280e+002
+9.41212121212e+006, -1.80082006430e-005, +1.01899578405e+002
+9.51010101010e+006, -1.72919427681e-005, +9.49922272136e+001
+9.60808080808e+006, -1.66227747186e-005, +8.87078482819e+001
+9.70606060606e+006, -1.59946923630e-005, +8.30022540104e+001
+9.80404040404e+006, -1.54098301750e-005, +7.78514993564e+001
+9.90202020202e+006, -1.48569836657e-005, +7.31258881243e+001
+1.00000000000e+007, -1.43373172036e-005, +6.87771683770e+001
END
