0.50,0.800,0.820,0.832,0.76,0.656,0.512,0.335,0.250,0.12
0.55,0.860,0.860,0.848,0.776,0.648,0.48,0.288,0.193,0.056
0.60,0.912,0.900,0.864,0.76,0.624,0.44,0.224,0.140,-0.016
0.65,0.949,0.930,0.856,0.744,0.576,0.392,0.160,0.068,-0.08
0.70,0.976,0.936,0.848,0.72,0.544,0.344,0.098,0.006,-0.152
0.75,0.988,0.936,0.824,0.688,0.496,0.28,0.034,-0.068,-0.224
0.80,0.992,0.920,0.8,0.648,0.448,0.22,-0.026,-0.130,-0.288
0.85,0.989,0.904,0.776,0.608,0.392,0.168,-0.088,-0.185,-0.336
0.90,0.979,0.880,0.736,0.558,0.352,0.112,-0.143,-0.245,-0.344
