dx1,F1,dx2,F2
0.131525,3.255208,0.131575,2.215703
0.13235,3.261566,0.1324,2.209346
0.1332,3.267924,0.133225,2.174377
0.134038,3.271103,0.134063,2.110799
0.1349,3.296534,0.134888,2.053579
0.13575,3.347397,0.135713,2.024968
0.136575,3.391902,0.136563,1.999537
0.1374,3.417333,0.1374,1.958211
0.138225,3.414154,0.138238,1.926422
0.139063,3.417333,0.139063,1.913706
0.1399,3.439585,0.1399,1.90417
0.140738,3.465017,0.140725,1.872381
0.141575,3.48409,0.14155,1.856486
0.142413,3.509521,0.142363,1.888275
0.14325,3.54449,0.143188,1.942317
0.144088,3.579458,0.144025,1.99
0.144913,3.611247,0.144863,2.002716
0.145738,3.636678,0.145713,2.009074
0.14655,3.665288,0.146563,2.015432
0.147375,3.706614,0.1474,2.009074
0.148188,3.741582,0.148238,1.99
0.149013,3.757477,0.149063,1.977285
0.14985,3.767014,0.149888,1.99
0.1507,3.792445,0.150713,2.009074
0.15155,3.811518,0.151563,2.028147
0.152388,3.833771,0.1524,2.037684
0.153225,3.868739,0.153238,2.037684
0.15405,3.903707,0.154075,2.034505
0.154875,3.929138,0.154913,2.028147
0.155713,3.957748,0.15575,2.024968
0.156563,3.992716,0.156575,2.018611
0.1574,4.024506,0.157413,2.002716
0.15825,4.043579,0.158225,1.983643
0.159088,4.053116,0.15905,1.977285
0.159925,4.059474,0.159875,1.99
0.16075,4.06901,0.1607,2.009074
0.161588,4.094442,0.161538,2.018611
0.162413,4.135767,0.162388,1.999537
0.163225,4.154841,0.163225,1.948675
0.164063,4.164378,0.164063,1.897812
0.164875,4.177094,0.1649,1.862844
0.1657,4.202525,0.165738,1.840591
0.166538,4.237493,0.16655,1.831055
0.167388,4.281998,0.167388,1.827876
0.168238,4.307429,0.168225,1.821518
0.169075,4.301071,0.16905,1.802444
0.1699,4.291534,0.169888,1.780192
0.170725,4.291534,0.170738,1.770655
0.17155,4.323324,0.171575,1.761119
0.172388,4.377365,0.172413,1.751582
0.173225,4.434586,0.173238,1.745224
0.174063,4.463196,0.174063,1.761119
0.1749,4.47909,0.174875,1.78655
0.175738,4.498164,0.175713,1.792908
0.176575,4.545847,0.176525,1.777013
0.177413,4.583994,0.177363,1.751582
0.17825,4.618963,0.1782,1.726151
0.179075,4.634857,0.179038,1.745224
0.179888,4.631678,0.179888,1.792908
0.180713,4.631678,0.180725,1.821518
0.181538,4.669825,0.181563,1.831055
0.182363,4.730225,0.182388,1.853307
0.1832,4.781087,0.183213,1.888275
0.18405,4.790624,0.18405,1.926422
0.1849,4.796982,0.184888,1.958211
0.185738,4.812876,0.185738,1.99
0.186575,4.857381,0.186575,2.028147
0.1874,4.901886,0.187413,2.075831
